season_year,season_label,vessel_id,trip_id,dep_ts,arr_ts,arr_date,landed_kg,n_records,fishing_h,distance_km
2023,2023-2024,matsumae07,matsumae07_T8,2023-09-04 02:01:34,2023-09-04 07:31:34,2023-09-04,139.1,3,3.166666666666667,32.76343803092909
2023,2023-2024,matsumae07,matsumae07_T9,2023-09-06 02:00:35,2023-09-06 08:59:34,2023-09-06,423.9,9,5.283611111111111,30.352131316242232
2023,2023-2024,matsumae07,matsumae07_T10,2023-09-11 02:13:34,2023-09-11 09:01:34,2023-09-11,384.3,9,4.5325,31.905132463413004
2023,2023-2024,matsumae07,matsumae07_T11,2023-09-23 02:41:35,2023-09-23 08:32:35,2023-09-23,131.2,3,3.416388888888889,35.82342190858069
2023,2023-2024,matsumae07,matsumae07_T13,2023-09-24 02:41:34,2023-09-24 08:50:35,2023-09-24,63.2,1,1.4491666666666667,39.860020184323744
2023,2023-2024,matsumae08,matsumae08_T2,2023-07-20 01:27:39,2023-07-20 07:07:39,2023-07-20,303.29999999999995,6,3.3169444444444447,33.10430796947104
2023,2023-2024,matsumae08,matsumae08_T5,2023-07-24 01:27:40,2023-07-24 07:54:40,2023-07-24,415.0,6,3.483611111111111,38.834839039063056
2023,2023-2024,matsumae08,matsumae08_T6,2023-08-07 01:42:40,2023-08-07 07:23:40,2023-08-07,348.2,8,3.0,37.74411252801968
2023,2023-2024,matsumae08,matsumae08_T7,2023-09-04 02:14:39,2023-09-04 07:23:40,2023-09-04,56.3,1,3.15,31.14123713141143
2023,2023-2024,matsumae08,matsumae08_T8,2023-09-11 02:24:40,2023-09-11 07:08:40,2023-09-11,88.4,2,2.7008333333333336,30.293284825076817
2023,2023-2024,matsumae08,matsumae08_T10,2023-09-23 02:39:39,2023-09-23 08:06:39,2023-09-23,129.3,3,2.9325,35.41363089329295
2023,2023-2024,matsumae08,matsumae08_T11,2023-09-24 02:39:40,2023-09-24 08:15:40,2023-09-24,107.9,3,2.7658333333333336,40.652777921091285
2023,2023-2024,matsumae08,matsumae08_T15,2023-10-12 03:16:40,2023-10-12 08:01:39,2023-10-12,109.80000000000001,3,2.6508333333333334,28.13738136065655
2023,2023-2024,matsumae09,matsumae09_T1,2023-09-21 02:00:45,2023-09-21 09:18:45,2023-09-21,152.4,3,4.798611111111112,38.1364974216041
2023,2023-2024,matsumae09,matsumae09_T29,2023-12-06 06:00:44,2023-12-06 10:08:44,2023-12-06,33.6,1,0.6988888888888889,37.14803892601802
2023,2023-2024,matsumae11,matsumae11_T1,2023-09-11 02:11:59,2023-09-11 06:57:59,2023-09-11,75.0,1,3.2491666666666665,22.986197821251523
2023,2023-2024,matsumae12,matsumae12_T1,2023-09-11 01:52:49,2023-09-11 07:07:50,2023-09-11,119.6,3,3.5322222222222224,24.39310349523402
2023,2023-2024,matsumae12,matsumae12_T3,2023-09-23 02:14:49,2023-09-23 07:09:50,2023-09-23,61.6,1,2.7822222222222224,28.359772494144483
2023,2023-2024,matsumae12,matsumae12_T6,2023-09-30 02:27:49,2023-09-30 08:06:49,2023-09-30,170.5,4,4.199722222222222,24.433942413679866
2023,2023-2024,matsumae12,matsumae12_T7,2023-10-15 03:05:49,2023-10-15 07:40:49,2023-10-15,39.1,1,2.966388888888889,23.676423781492705
2023,2023-2024,matsumae12,matsumae12_T8,2023-11-16 03:22:49,2023-11-16 08:04:49,2023-11-16,27.8,1,2.7666666666666666,25.288894780679225
2023,2023-2024,matsumae12,matsumae12_T10,2023-12-03 06:46:49,2023-12-03 09:54:49,2023-12-03,176.5,9,0.7991666666666667,29.540425239589492
2023,2023-2024,matsumae12,matsumae12_T11,2023-12-03 11:10:50,2023-12-03 13:07:49,2023-12-03,176.5,9,0.23333333333333334,21.171516125603144
2023,2023-2024,matsumae12,matsumae12_T13,2023-12-06 06:34:49,2023-12-06 10:08:50,2023-12-06,26.1,1,0.7675000000000001,34.81214957597689
2023,2023-2024,matsumae12,matsumae12_T14,2023-12-12 06:48:49,2023-12-12 10:23:50,2023-12-12,65.6,2,1.4994444444444446,26.57241403352187
2023,2023-2024,matsumae12,matsumae12_T15,2023-12-12 11:00:49,2023-12-12 12:57:50,2023-12-12,65.6,2,0.6666666666666667,16.423893230625755
2023,2023-2024,matsumae13,matsumae13_T1,2023-09-23 02:33:44,2023-09-23 08:34:44,2023-09-23,108.2,3,3.866388888888889,33.533743592767685
2023,2023-2024,matsumae13,matsumae13_T3,2023-09-24 02:34:44,2023-09-24 07:30:45,2023-09-24,44.0,1,2.500277777777778,37.87175810215026
2023,2023-2024,matsumae14,matsumae14_T4,2023-09-23 02:32:19,2023-09-23 08:51:19,2023-09-23,80.8,2,4.35,34.86772685795467
2023,2023-2024,matsumae14,matsumae14_T5,2023-09-24 02:33:19,2023-09-24 09:31:20,2023-09-24,187.6,4,4.149166666666667,46.148936261431366
2023,2023-2024,matsumae14,matsumae14_T6,2023-09-25 02:23:19,2023-09-25 08:37:19,2023-09-25,27.1,1,3.5169444444444444,40.244214766645094
2023,2023-2024,matsumae14,matsumae14_T12,2023-09-30 02:32:20,2023-09-30 09:57:20,2023-09-30,337.8,8,5.015833333333333,46.545237238458235
2023,2023-2024,matsumae15,matsumae15_T1,2023-09-23 02:39:04,2023-09-23 05:52:05,2023-09-23,507.3,12,1.6830555555555555,25.723183654621245
2023,2023-2024,matsumae16,matsumae16_T1,2023-09-21 02:09:20,2023-09-21 12:21:19,2023-09-21,160.7,3,7.250555555555556,48.33057053359678
2023,2023-2024,matsumae17,matsumae17_T4,2023-11-05 02:34:40,2023-11-05 10:21:39,2023-11-05,72.1,2,4.999444444444444,46.307056204435824
