port_id,lat,lon
1,41.54994,139.98832
2,41.54372,139.99113
3,41.492775,140.01524
4,41.486088,140.0183
5,41.481439,140.022211
6,41.469879,140.028756
7,41.446561,140.041678
8,41.420302,140.089965
9,41.413608,140.16979
