month,matsumae02,matsumae04,matsumae05,matsumae06,matsumae07,matsumae08,matsumae09,matsumae10,matsumae11,matsumae12,matsumae13,matsumae14,matsumae15,matsumae16,matsumae17,matsumae18,matsumae19,matsumae20,matsumae21,matsumae22,matsumae23,matsumae24,matsumae25,matsumae26,matsumae27,matsumae28,matsumae31,合計_L
2024-08,564.0,500.0,0.0,240.0,0.0,0.0,0.0,350.0,0.0,348.0,0.0,600.0,970.0,0.0,346.0,400.0,0.0,1296.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,200.0,1390.0,8404.0
2024-09,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,303.0,800.0,0.0,540.0,0.0,0.0,1000.0,214.0,0.0,200.0,0.0,400.0,1110.0,6527.0
2024-10,763.0,400.0,263.0,760.0,1000.0,1200.0,0.0,350.0,0.0,147.0,470.0,0.0,450.0,820.0,369.0,400.0,0.0,944.0,400.0,900.0,0.0,0.0,800.0,0.0,1000.0,220.0,550.0,12206.0
2024-11,0.0,0.0,1003.0,360.0,0.0,0.0,1000.0,708.0,0.0,0.0,0.0,580.0,450.0,0.0,289.0,0.0,0.0,570.0,0.0,0.0,0.0,332.0,800.0,0.0,0.0,0.0,0.0,6092.0
2024-12,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,600.0,210.0,800.0,285.0,0.0,400.0,0.0,3238.0
2025-01,296.0,0.0,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,480.0,0.0,0.0,0.0,1386.0,0.0,0.0,0.0,0.0,139.0,800.0,0.0,1000.0,0.0,640.0,6243.0
2025-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,2177.0
2025-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,570.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880.0
2025-04,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,370.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,1907.0
2025-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0
2025-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,400.0,0.0,364.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,820.0,2664.0
