vessel_id,漁獲日数,総移動距離_km,平均日移動距離_km,最大日移動距離_km,最小日移動距離_km,移動距離標準偏差
matsumae18,13,750.8,57.8,95.3,24.8,19.6
matsumae15,8,429.8,53.7,81.0,28.5,17.9
matsumae06,5,336.2,67.2,81.7,49.6,10.7
matsumae04,7,314.6,44.9,62.9,34.7,9.3
matsumae12,7,288.1,41.2,72.5,6.3,21.8
matsumae21,6,281.6,46.9,66.8,38.2,9.4
matsumae28,5,271.7,54.3,70.5,44.0,10.5
matsumae17,7,240.4,34.3,65.1,1.9,25.0
matsumae01,4,235.9,59.0,69.5,40.7,11.1
matsumae22,6,234.1,39.0,58.5,16.0,12.4
matsumae09,3,223.9,74.6,98.4,41.8,24.0
matsumae27,4,223.5,55.9,65.1,45.6,9.0
matsumae23,4,220.5,55.1,75.2,31.7,15.5
matsumae08,4,217.3,54.3,78.9,34.9,18.5
matsumae24,3,209.9,70.0,78.4,64.3,6.1
matsumae16,5,204.7,40.9,68.1,16.0,16.7
matsumae05,3,197.2,65.7,69.1,62.2,2.8
matsumae25,4,195.8,49.0,67.8,35.7,12.7
matsumae14,3,177.5,59.2,73.4,31.7,19.4
matsumae02,3,173.6,57.9,75.6,27.1,21.8
matsumae03,3,168.6,56.2,67.1,46.0,8.6
matsumae26,4,158.1,39.5,50.2,31.1,7.5
matsumae13,2,152.5,76.3,79.0,73.6,2.7
matsumae20,2,151.3,75.6,84.9,66.4,9.3
matsumae19,2,148.7,74.4,81.0,67.7,6.6
matsumae11,3,96.4,32.1,70.3,10.2,27.1
matsumae07,4,83.8,20.9,24.0,18.9,2.0
