vessel_id,op_id,start_ts,end_ts,days,points,distance_km
matsumae12,9,2024-08-03 01:06:49+09:00,2024-08-03 07:11:50+09:00,2024-08-03,706,42.720797395101954
matsumae12,10,2024-08-20 00:45:49+09:00,2024-08-20 08:54:50+09:00,2024-08-20,976,87.72454534239753
matsumae13,1,2024-08-06 00:54:44+09:00,2024-08-07 23:59:45+09:00,"2024-08-06,2024-08-07",4835,185.7683195980439
matsumae14,1,2024-08-03 00:55:19+09:00,2024-08-03 06:55:19+09:00,2024-08-03,476,38.26367000972408
matsumae14,2,2024-08-03 08:01:19+09:00,2024-08-03 11:09:20+09:00,2024-08-03,224,21.665342380082926
matsumae14,3,2024-08-06 00:49:21+09:00,2024-08-06 13:04:19+09:00,2024-08-06,1068,89.53099464335162
matsumae14,4,2024-08-07 00:45:19+09:00,2024-08-07 13:17:19+09:00,2024-08-07,1286,86.96133041089695
matsumae15,1,2024-07-11 00:31:05+09:00,2024-07-11 11:25:05+09:00,2024-07-11,1238,48.99464812635906
matsumae15,3,2024-07-12 00:31:05+09:00,2024-07-12 12:13:04+09:00,2024-07-12,1324,48.707296188205035
matsumae15,5,2024-07-16 00:35:05+09:00,2024-07-16 11:42:04+09:00,2024-07-16,1230,80.49777968778653
matsumae15,6,2024-07-17 00:45:05+09:00,2024-07-17 12:10:05+09:00,2024-07-17,1302,88.55624796905391
matsumae15,7,2024-07-17 14:43:05+09:00,2024-07-17 15:22:05+09:00,2024-07-17,80,16.90151974998243
matsumae15,8,2024-08-01 00:51:05+09:00,2024-08-01 08:03:05+09:00,2024-08-01,734,46.263969501603135
matsumae15,9,2024-08-03 01:28:04+09:00,2024-08-03 05:59:04+09:00,2024-08-03,368,31.911015113815296
matsumae15,10,2024-08-03 07:54:05+09:00,2024-08-03 09:13:04+09:00,2024-08-03,80,10.86414506106122
matsumae15,13,2024-08-07 01:34:05+09:00,2024-08-07 15:18:04+09:00,2024-08-07,1240,93.0220252699425
matsumae15,14,2024-08-19 01:18:03+09:00,2024-08-19 07:58:05+09:00,2024-08-19,622,57.89721022948547
matsumae16,1,2024-07-17 01:09:19+09:00,2024-07-17 23:59:20+09:00,2024-07-17,2592,82.14792317361966
matsumae16,2,2024-08-07 01:14:20+09:00,2024-08-07 03:21:20+09:00,2024-08-07,216,19.176639221344335
matsumae16,3,2024-08-07 04:42:20+09:00,2024-08-07 23:59:20+09:00,2024-08-07,2157,57.22792371731053
matsumae16,4,2024-10-18 00:00:19+09:00,2024-10-18 23:59:19+09:00,2024-10-18,2680,49.310791844511215
matsumae16,5,2024-10-26 03:11:20+09:00,2024-10-26 14:48:20+09:00,2024-10-26,1344,43.44301142316796
matsumae16,6,2024-11-01 03:03:19+09:00,2024-11-01 23:59:20+09:00,2024-11-01,2514,53.418299276433046
matsumae17,1,2024-07-11 01:03:39+09:00,2024-07-11 16:50:40+09:00,2024-07-11,1728,78.61507164137922
matsumae17,2,2024-08-01 01:26:39+09:00,2024-08-01 03:02:40+09:00,2024-08-01,170,11.886146408000606
matsumae17,3,2024-08-01 04:11:39+09:00,2024-08-01 07:48:39+09:00,2024-08-01,362,22.75643046815442
matsumae17,5,2024-08-06 04:17:39+09:00,2024-08-06 23:59:40+09:00,2024-08-06,2078,55.8437365622873
matsumae17,6,2024-10-18 03:11:39+09:00,2024-10-18 04:34:39+09:00,2024-10-18,150,8.912046045385857
matsumae17,7,2024-10-18 05:36:39+09:00,2024-10-18 12:29:40+09:00,2024-10-18,484,22.38961176395933
matsumae17,8,2024-10-26 01:55:39+09:00,2024-10-26 09:42:41+09:00,2024-10-26,562,48.918642615627306
matsumae17,9,2024-10-26 14:44:40+09:00,2024-10-26 15:51:40+09:00,2024-10-26,135,12.573937997504657
matsumae17,10,2024-11-01 03:09:40+09:00,2024-11-01 10:08:39+09:00,2024-11-01,838,61.4777121736152
matsumae17,11,2024-11-10 02:44:40+09:00,2024-11-10 23:59:39+09:00,2024-11-10,2526,76.11491850731359
matsumae18,1,2024-07-09 00:39:04+09:00,2024-07-09 11:45:05+09:00,2024-07-09,1232,79.82662240285597
matsumae18,2,2024-07-10 00:32:04+09:00,2024-07-10 10:11:04+09:00,2024-07-10,1042,47.784352283680406
matsumae18,4,2024-07-11 00:43:05+09:00,2024-07-11 14:05:04+09:00,2024-07-11,1180,90.49201735719208
matsumae18,6,2024-07-16 00:42:04+09:00,2024-07-16 13:33:05+09:00,2024-07-16,1442,82.90516118281663
matsumae18,8,2024-07-17 00:41:04+09:00,2024-07-17 09:39:05+09:00,2024-07-17,788,71.97195433555872
matsumae18,9,2024-07-17 11:46:04+09:00,2024-07-17 13:46:04+09:00,2024-07-17,223,17.816351519364105
matsumae18,10,2024-08-01 00:58:04+09:00,2024-08-01 07:54:05+09:00,2024-08-01,668,46.21091108414891
matsumae18,12,2024-08-03 01:13:04+09:00,2024-08-03 08:46:04+09:00,2024-08-03,728,52.61757026371728
matsumae18,13,2024-08-06 01:06:05+09:00,2024-08-06 09:35:05+09:00,2024-08-06,814,48.54339332723207
matsumae18,14,2024-08-07 01:07:04+09:00,2024-08-07 15:36:04+09:00,2024-08-07,1353,94.30625826215531
matsumae18,15,2024-08-19 00:58:05+09:00,2024-08-19 03:56:05+09:00,2024-08-19,228,29.0582036947913
matsumae18,16,2024-08-19 05:48:05+09:00,2024-08-19 08:25:04+09:00,2024-08-19,178,21.42743232441247
matsumae18,17,2024-08-20 00:59:05+09:00,2024-08-20 09:57:05+09:00,2024-08-20,1072,79.90751930051192
matsumae18,19,2024-10-18 02:23:05+09:00,2024-10-18 10:59:04+09:00,2024-10-18,870,49.13886776641626
