vessel_id,date,ops,points
matsumae01,2023-07-08,1,844
matsumae01,2023-07-10,1,1371
matsumae01,2023-07-17,2,1213
matsumae02,2023-07-08,1,780
matsumae02,2023-07-10,1,1028
matsumae02,2023-08-19,1,750
matsumae02,2023-09-03,1,702
matsumae02,2023-09-24,1,683
matsumae02,2023-09-25,1,563
matsumae02,2023-09-30,1,737
matsumae02,2023-12-04,1,536
matsumae03,2023-07-10,1,1197
matsumae03,2023-08-09,1,1086
matsumae03,2023-09-12,1,871
matsumae03,2023-09-23,1,1086
matsumae03,2023-09-25,1,403
matsumae04,2023-07-08,1,642
matsumae04,2023-07-10,1,1038
matsumae04,2023-07-17,1,936
matsumae04,2023-08-01,1,571
matsumae04,2023-08-07,1,578
matsumae04,2023-09-06,2,498
matsumae04,2023-09-11,1,681
matsumae05,2023-08-01,1,796
matsumae05,2023-09-03,1,670
matsumae05,2023-09-21,1,1226
matsumae06,2023-07-08,1,726
matsumae06,2023-09-21,1,996
matsumae06,2023-09-23,2,650
matsumae07,2023-08-01,1,512
matsumae07,2023-08-07,1,596
matsumae07,2023-08-09,1,694
matsumae07,2023-08-19,1,608
matsumae07,2023-08-29,1,352
matsumae07,2023-09-04,1,612
matsumae07,2023-09-06,1,752
matsumae07,2023-09-11,1,642
matsumae07,2023-09-23,1,412
matsumae07,2023-09-24,2,408
matsumae08,2023-07-20,1,860
matsumae08,2023-07-24,1,916
matsumae08,2023-08-07,2,806
matsumae08,2023-09-04,1,674
matsumae08,2023-09-11,1,616
matsumae08,2023-09-23,2,718
matsumae08,2023-09-24,1,730
matsumae08,2023-10-12,1,622
matsumae09,2023-09-21,1,1128
matsumae09,2023-12-06,1,742
matsumae11,2023-09-11,1,506
matsumae12,2023-09-11,1,668
matsumae12,2023-09-23,1,594
matsumae12,2023-09-30,1,706
matsumae12,2023-10-15,1,564
matsumae12,2023-11-16,1,594
matsumae12,2023-12-03,1,721
matsumae12,2023-12-06,1,506
matsumae12,2023-12-12,1,803
matsumae13,2023-09-23,1,2426
matsumae13,2023-09-24,1,772
matsumae14,2023-09-23,2,908
matsumae14,2023-09-24,2,1052
matsumae14,2023-09-25,1,560
matsumae14,2023-09-30,3,860
matsumae15,2023-09-23,3,390
matsumae16,2023-09-21,1,1396
matsumae17,2023-11-05,1,1183
matsumae18,2023-09-23,3,578
matsumae18,2023-09-26,1,666
matsumae19,2023-09-11,1,577
matsumae19,2023-09-21,1,898
matsumae19,2023-09-24,1,651
matsumae19,2023-09-25,1,704
matsumae19,2023-09-26,1,688
matsumae19,2023-09-27,1,666
matsumae21,2023-09-23,1,882
matsumae21,2023-12-06,2,670
matsumae21,2023-12-12,2,534
matsumae22,2023-09-23,2,552
matsumae22,2023-12-06,1,640
matsumae24,2023-09-11,1,786
matsumae24,2023-09-23,2,680
matsumae25,2023-09-12,1,546
matsumae25,2023-09-14,1,496
matsumae25,2023-09-21,1,1004
matsumae26,2023-09-21,1,1006
matsumae26,2023-09-24,1,706
matsumae26,2023-09-25,1,575
matsumae27,2023-09-21,1,922
matsumae28,2023-09-21,1,1016
matsumae28,2023-09-24,1,614
matsumae28,2023-10-09,1,763
matsumae28,2023-10-12,1,619
