vessel_id,op_id,start_ts,end_ts,days,points,distance_km
matsumae01,1,2023-07-08 00:24:39+09:00,2023-07-08 07:34:39+09:00,2023-07-08,844,51.230146697115245
matsumae01,2,2023-07-10 00:56:39+09:00,2023-07-10 14:11:39+09:00,2023-07-10,1371,86.46221212709709
matsumae01,3,2023-07-17 00:54:39+09:00,2023-07-17 12:04:39+09:00,2023-07-17,1169,72.86705097023267
matsumae02,1,2023-07-08 00:12:19+09:00,2023-07-08 06:41:19+09:00,2023-07-08,780,46.76605813880543
matsumae02,2,2023-07-10 00:42:19+09:00,2023-07-10 11:18:19+09:00,2023-07-10,1028,82.86486996929668
matsumae02,3,2023-08-19 01:06:20+09:00,2023-08-19 07:24:20+09:00,2023-08-19,750,53.09606202842972
matsumae02,4,2023-09-03 01:26:21+09:00,2023-09-03 07:27:19+09:00,2023-09-03,702,40.870389106790626
matsumae02,5,2023-09-24 02:24:19+09:00,2023-09-24 08:19:20+09:00,2023-09-24,683,55.60312404802069
matsumae02,6,2023-09-25 02:15:20+09:00,2023-09-25 08:32:20+09:00,2023-09-25,563,54.05949004966776
matsumae02,7,2023-09-30 02:18:20+09:00,2023-09-30 08:30:19+09:00,2023-09-30,737,46.72030440290493
matsumae02,8,2023-12-04 06:06:21+09:00,2023-12-04 10:37:19+09:00,2023-12-04,536,48.853050666964485
matsumae03,1,2023-07-10 00:40:14+09:00,2023-07-10 11:44:15+09:00,2023-07-10,1197,77.11419846495468
matsumae03,2,2023-08-09 00:32:14+09:00,2023-08-09 09:37:14+09:00,2023-08-09,1086,52.90009626735705
matsumae03,3,2023-09-12 01:32:14+09:00,2023-09-12 09:08:15+09:00,2023-09-12,871,60.14254382899748
matsumae03,4,2023-09-23 01:22:15+09:00,2023-09-23 10:28:14+09:00,2023-09-23,1086,55.54098338947377
matsumae03,5,2023-09-25 05:04:14+09:00,2023-09-25 08:29:15+09:00,2023-09-25,403,31.268074353463597
matsumae04,1,2023-07-08 00:27:49+09:00,2023-07-08 06:20:50+09:00,2023-07-08,642,46.684497947306454
matsumae04,2,2023-07-10 00:57:50+09:00,2023-07-10 11:20:50+09:00,2023-07-10,1038,74.72964330224505
matsumae04,3,2023-07-17 00:50:50+09:00,2023-07-17 09:50:49+09:00,2023-07-17,936,72.92221787088246
matsumae04,4,2023-08-01 01:29:49+09:00,2023-08-01 07:22:49+09:00,2023-08-01,571,55.028566496530956
matsumae04,5,2023-08-07 01:37:50+09:00,2023-08-07 08:11:50+09:00,2023-08-07,578,52.112163492028365
matsumae04,6,2023-09-06 02:10:50+09:00,2023-09-06 06:32:50+09:00,2023-09-06,454,32.06735030626305
matsumae04,7,2023-09-06 08:09:49+09:00,2023-09-06 08:30:50+09:00,2023-09-06,44,7.976389940549296
matsumae04,8,2023-09-11 01:58:50+09:00,2023-09-11 08:15:49+09:00,2023-09-11,681,40.25954479369235
matsumae05,1,2023-08-01 01:26:09+09:00,2023-08-01 08:18:09+09:00,2023-08-01,796,56.67983272978047
matsumae05,2,2023-09-03 01:57:09+09:00,2023-09-03 07:36:09+09:00,2023-09-03,670,42.463023664393646
matsumae05,3,2023-09-21 02:02:09+09:00,2023-09-21 12:16:09+09:00,2023-09-21,1226,57.42966258888305
matsumae06,1,2023-07-08 00:00:25+09:00,2023-07-08 07:13:24+09:00,2023-07-08,726,74.59213609493969
matsumae06,2,2023-09-21 01:45:24+09:00,2023-09-21 11:00:25+09:00,2023-09-21,996,76.76683481654669
matsumae06,3,2023-09-23 01:36:25+09:00,2023-09-23 06:57:25+09:00,2023-09-23,526,59.87112256436979
matsumae06,4,2023-09-23 08:35:24+09:00,2023-09-23 09:36:24+09:00,2023-09-23,124,25.750260879352087
matsumae07,1,2023-08-01 01:18:36+09:00,2023-08-01 08:29:34+09:00,2023-08-01,512,55.47104204987056
matsumae07,2,2023-08-07 01:15:35+09:00,2023-08-07 10:43:34+09:00,2023-08-07,596,56.53369902644114
matsumae07,3,2023-08-09 01:39:34+09:00,2023-08-09 08:56:34+09:00,2023-08-09,694,47.181084773900004
matsumae07,4,2023-08-19 01:36:34+09:00,2023-08-19 07:44:34+09:00,2023-08-19,608,50.236050860629696
