trip_id,vessel_id,dep_ts,arr_ts,duration_h,fishing_h,steaming_h,distance_km,dep_lat,dep_lon,arr_lat,arr_lon,dep_date,arr_date
matsumae01_T1,matsumae01,2024-01-29 10:01:39,2024-01-29 14:18:40,4.283611111111111,2.1169444444444445,2.166666666666667,40.153461934734565,41.472217,140.000583,41.472633,140.001383,2024-01-29,2024-01-29
matsumae01_T10,matsumae01,2024-07-11 01:14:40,2024-07-11 12:18:39,11.06638888888889,8.750833333333334,2.3155555555555556,46.04013412370479,41.4872,139.991517,41.44155,140.0185,2024-07-11,2024-07-11
matsumae01_T14,matsumae01,2024-07-16 01:24:40,2024-07-16 11:36:39,10.199722222222222,8.016388888888889,2.1833333333333336,46.77530232302317,41.49415,139.990417,41.410633,140.069317,2024-07-16,2024-07-16
matsumae01_T2,matsumae01,2024-05-14 09:01:40,2024-05-14 13:44:40,4.716666666666667,2.516388888888889,2.200277777777778,39.99997130730776,41.472767,139.999583,41.4721,140.000517,2024-05-14,2024-05-14
matsumae01_T27,matsumae01,2024-09-16 01:38:39,2024-09-16 08:03:39,6.416666666666667,3.466666666666667,2.95,49.709107910757005,41.466533,140.006667,41.4325,140.026017,2024-09-16,2024-09-16
matsumae01_T29,matsumae01,2024-10-09 08:53:39,2024-10-09 12:55:39,4.033333333333333,1.8836111111111111,2.149722222222222,40.13808096509745,41.47265,140.001217,41.471883,140.000617,2024-10-09,2024-10-09
matsumae01_T30,matsumae01,2024-10-17 09:10:39,2024-10-17 15:33:40,6.383611111111111,4.217222222222222,2.166388888888889,40.66547424943098,41.473033,140.00055,41.4727,140.00125,2024-10-17,2024-10-17
matsumae01_T31,matsumae01,2024-10-26 03:10:39,2024-10-26 10:01:40,6.850277777777778,5.448888888888889,1.401388888888889,30.469241285852924,41.479167,139.995067,41.473117,139.999667,2024-10-26,2024-10-26
matsumae01_T32,matsumae01,2024-10-26 10:38:40,2024-10-26 15:35:40,4.95,0.3,4.65,47.736863967539726,41.475783,139.997517,41.467083,140.0056,2024-10-26,2024-10-26
matsumae01_T35,matsumae01,2024-10-27 07:03:40,2024-10-27 10:34:40,3.5166666666666666,0.26666666666666666,3.25,28.010938259891706,41.430633,140.030217,41.4926,139.990317,2024-10-27,2024-10-27
matsumae01_T36,matsumae01,2024-11-10 06:29:40,2024-11-10 11:03:39,4.5663888888888895,2.466666666666667,2.0997222222222223,40.285129084377964,41.473233,140.001033,41.47265,140.00175,2024-11-10,2024-11-10
matsumae01_T5,matsumae01,2024-06-20 06:59:40,2024-06-20 11:46:39,4.783055555555555,2.783611111111111,1.9994444444444446,40.2559463001232,41.4734,140.000967,41.472567,140.0019,2024-06-20,2024-06-20
matsumae01_T6,matsumae01,2024-07-09 01:14:40,2024-07-09 12:09:39,10.91638888888889,8.766666666666667,2.149722222222222,34.71100602120681,41.480833,139.996567,41.443767,140.017067,2024-07-09,2024-07-09
matsumae02_T1,matsumae02,2024-06-11 09:43:20,2024-06-11 15:03:19,5.333055555555556,3.981388888888889,1.3516666666666668,24.223620821856443,41.539567,139.9683,41.543183,139.964267,2024-06-11,2024-06-11
matsumae02_T11,matsumae02,2024-07-10 00:43:20,2024-07-10 09:36:19,8.883055555555556,6.6177777777777775,2.265277777777778,33.06783180595761,41.5457,139.9643,41.541633,139.967,2024-07-10,2024-07-10
matsumae02_T19,matsumae02,2024-07-16 00:38:19,2024-07-16 06:45:20,6.116944444444445,5.166666666666667,0.9502777777777778,23.23800577648755,41.5523,139.963583,41.5507,139.963833,2024-07-16,2024-07-16
matsumae02_T2,matsumae02,2024-06-19 05:36:19,2024-06-19 15:04:20,9.466944444444445,6.584722222222222,2.8822222222222225,35.713679552323434,41.558617,139.962283,41.5397,139.96815,2024-06-19,2024-06-19
matsumae02_T20,matsumae02,2024-08-06 05:34:20,2024-08-06 07:50:19,2.266388888888889,1.7994444444444444,0.46694444444444444,11.709202276721395,41.552567,139.963367,41.558933,139.966967,2024-08-06,2024-08-06
matsumae02_T21,matsumae02,2024-08-08 05:09:20,2024-08-08 08:50:19,3.6830555555555557,3.0505555555555555,0.6325000000000001,13.137548448134188,41.553267,139.9641,41.554383,139.96495,2024-08-08,2024-08-08
matsumae02_T22,matsumae02,2024-08-11 04:25:19,2024-08-11 13:50:19,9.416666666666666,3.516388888888889,5.900277777777778,23.317470298802597,41.564067,139.961933,41.551667,139.9636,2024-08-11,2024-08-11
matsumae02_T23,matsumae02,2024-09-10 05:48:19,2024-09-10 10:50:19,5.033333333333333,1.267777777777778,3.7655555555555553,21.32964251528446,41.550617,139.963167,41.54005,139.96695,2024-09-10,2024-09-10
matsumae02_T24,matsumae02,2024-09-12 05:35:19,2024-09-12 11:12:20,5.616944444444445,3.1497222222222225,2.467222222222222,15.067138015978601,41.626233,139.9632,41.564,139.971517,2024-09-12,2024-09-12
matsumae02_T26,matsumae02,2024-10-09 05:01:19,2024-10-09 14:52:19,9.85,6.917222222222223,2.932777777777778,28.739994253277647,41.54065,139.967683,41.553533,139.963383,2024-10-09,2024-10-09
matsumae02_T27,matsumae02,2024-10-11 08:06:19,2024-10-11 13:49:19,5.716666666666668,0.3661111111111111,5.350555555555556,15.251633120077631,41.5624,139.966967,41.564333,139.972467,2024-10-11,2024-10-11
matsumae02_T28,matsumae02,2024-10-14 05:57:19,2024-10-14 13:51:20,7.900277777777778,4.33388888888889,3.566388888888889,34.09449234481166,41.557,139.965883,41.563517,139.9705,2024-10-14,2024-10-14
matsumae02_T29,matsumae02,2024-10-17 04:52:19,2024-10-17 12:37:20,7.750277777777778,1.0008333333333335,6.749444444444444,16.853793959822106,41.562183,139.9703,41.556383,139.965183,2024-10-17,2024-10-17
matsumae02_T3,matsumae02,2024-06-23 11:18:19,2024-06-23 15:55:18,4.616388888888889,3.617777777777778,0.9986111111111111,15.663713342220925,41.542267,139.9656,41.541333,139.966083,2024-06-23,2024-06-23
matsumae02_T34,matsumae02,2024-10-26 13:26:19,2024-10-26 14:49:19,1.3833333333333333,0.13361111111111112,1.2497222222222222,15.665021599562296,41.429767,140.032567,41.483483,139.99435,2024-10-26,2024-10-26
matsumae02_T36,matsumae02,2024-10-27 06:14:19,2024-10-27 10:28:19,4.233333333333333,1.0161111111111112,3.2172222222222224,35.45825748376668,41.548533,139.9635,41.528733,139.9774,2024-10-27,2024-10-27
matsumae02_T4,matsumae02,2024-06-29 11:42:21,2024-06-29 17:58:19,6.266111111111111,3.1991666666666667,3.0669444444444443,27.07549425875946,41.5636,139.962933,41.55805,139.966333,2024-06-29,2024-06-29
matsumae02_T41,matsumae02,2024-10-29 05:39:19,2024-10-29 10:34:19,4.916666666666667,4.1177777777777775,0.798888888888889,11.653767218370694,41.539183,139.96815,41.53855,139.96865,2024-10-29,2024-10-29
matsumae02_T48,matsumae02,2024-11-02 06:01:19,2024-11-02 11:04:20,5.050277777777778,4.266666666666667,0.7836111111111111,10.241920280596839,41.539683,139.9675,41.5401,139.9668,2024-11-02,2024-11-02
matsumae02_T49,matsumae02,2024-11-06 06:10:20,2024-11-06 11:31:20,5.3500000000000005,4.333611111111111,1.016388888888889,19.94120929414464,41.53925,139.9681,41.53995,139.9668,2024-11-06,2024-11-06
matsumae02_T5,matsumae02,2024-07-09 00:38:19,2024-07-09 10:01:20,9.383611111111112,6.868333333333333,2.515277777777778,38.17565756367365,41.542,139.965633,41.462817,140.00665,2024-07-09,2024-07-09
matsumae02_T52,matsumae02,2024-11-14 06:11:20,2024-11-14 10:57:20,4.766666666666667,3.733611111111111,1.0330555555555556,17.040280505321288,41.539733,139.9678,41.5432,139.965817,2024-11-14,2024-11-14
matsumae02_T59,matsumae02,2024-11-16 06:10:19,2024-11-16 08:52:20,2.700277777777778,2.149166666666667,0.5511111111111111,10.142619480977551,41.539533,139.967733,41.541167,139.9667,2024-11-16,2024-11-16
matsumae02_T61,matsumae02,2024-11-20 07:33:20,2024-11-20 10:55:19,3.366388888888889,2.3002777777777776,1.0661111111111112,14.803273925392546,41.540317,139.967317,41.5409,139.966467,2024-11-20,2024-11-20
matsumae02_T64,matsumae02,2024-11-21 08:24:20,2024-11-21 12:17:19,3.8830555555555555,2.700277777777778,1.182777777777778,14.642559394501712,41.562517,139.966817,41.558183,139.966633,2024-11-21,2024-11-21
matsumae02_T65,matsumae02,2024-11-25 06:28:19,2024-11-25 14:18:19,7.833333333333333,6.317222222222222,1.516111111111111,14.25883177583733,41.565517,139.971567,41.564017,139.97165,2024-11-25,2024-11-25
